"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","VersionInfo","BaseName","Target","LinkType","Length","DirectoryName","Directory","IsReadOnly","FullName","Extension","Name","Exists","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","Attributes"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50046\50046-1.jpg","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50046","50046-1.jpg","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\50046\50046-1.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","50046-1",,,"451791","D:\BID\InServer\50046","D:\BID\InServer\50046","False","D:\BID\InServer\50046\50046-1.jpg",".jpg","50046-1.jpg","True","2022-07-23 오후 4:50:08","2022-07-23 오전 7:50:08","2022-07-23 오후 4:50:09","2022-07-23 오전 7:50:09","2022-06-29 오후 6:36:32","2022-06-29 오전 9:36:32",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50046\50046-2.jpg","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50046","50046-2.jpg","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\50046\50046-2.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","50046-2",,,"409796","D:\BID\InServer\50046","D:\BID\InServer\50046","False","D:\BID\InServer\50046\50046-2.jpg",".jpg","50046-2.jpg","True","2022-07-23 오후 4:50:08","2022-07-23 오전 7:50:08","2022-07-23 오후 4:50:08","2022-07-23 오전 7:50:08","2022-07-13 오후 3:27:02","2022-07-13 오전 6:27:02",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50046\50046-3.jpg","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50046","50046-3.jpg","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\50046\50046-3.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","50046-3",,,"438278","D:\BID\InServer\50046","D:\BID\InServer\50046","False","D:\BID\InServer\50046\50046-3.jpg",".jpg","50046-3.jpg","True","2022-07-23 오후 4:50:08","2022-07-23 오전 7:50:08","2022-07-23 오후 4:50:08","2022-07-23 오전 7:50:08","2022-07-14 오전 12:49:00","2022-07-13 오후 3:49:00",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50257\50257-1.png","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50257","50257-1.png","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\50257\50257-1.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","50257-1",,,"405048","D:\BID\InServer\50257","D:\BID\InServer\50257","False","D:\BID\InServer\50257\50257-1.png",".png","50257-1.png","True","2022-07-23 오후 4:50:09","2022-07-23 오전 7:50:09","2022-07-23 오후 4:50:09","2022-07-23 오전 7:50:09","2022-03-19 오전 11:24:12","2022-03-19 오전 2:24:12",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50963\50963-1.jpg","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50963","50963-1.jpg","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\50963\50963-1.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","50963-1",,,"373031","D:\BID\InServer\50963","D:\BID\InServer\50963","False","D:\BID\InServer\50963\50963-1.jpg",".jpg","50963-1.jpg","True","2022-07-23 오후 4:50:09","2022-07-23 오전 7:50:09","2022-07-23 오후 4:50:09","2022-07-23 오전 7:50:09","2022-07-01 오후 7:39:42","2022-07-01 오전 10:39:42",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50978\50978-1.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\50978","50978-1.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\50978\50978-1.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","50978-1",,,"164616","D:\BID\InServer\50978","D:\BID\InServer\50978","False","D:\BID\InServer\50978\50978-1.webp",".webp","50978-1.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:52:14","2022-07-23 오전 8:52:14",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\51090\51090-1.png","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\51090","51090-1.png","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\51090\51090-1.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","51090-1",,,"135459","D:\BID\InServer\51090","D:\BID\InServer\51090","False","D:\BID\InServer\51090\51090-1.png",".png","51090-1.png","True","2022-07-23 오후 4:50:12","2022-07-23 오전 7:50:12","2022-07-23 오후 4:50:12","2022-07-23 오전 7:50:12","2022-07-14 오후 4:31:38","2022-07-14 오전 7:31:38",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\51090\51090-2.png","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\51090","51090-2.png","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\51090\51090-2.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","51090-2",,,"387151","D:\BID\InServer\51090","D:\BID\InServer\51090","False","D:\BID\InServer\51090\51090-2.png",".png","51090-2.png","True","2022-07-23 오후 4:50:13","2022-07-23 오전 7:50:13","2022-07-23 오후 4:50:13","2022-07-23 오전 7:50:13","2022-07-20 오후 11:41:50","2022-07-20 오후 2:41:50",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\52779\52779-1.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\52779","52779-1.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\52779\52779-1.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","52779-1",,,"83588","D:\BID\InServer\52779","D:\BID\InServer\52779","False","D:\BID\InServer\52779\52779-1.webp",".webp","52779-1.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-03-19 오후 3:27:12","2022-03-19 오전 6:27:12",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\52779\52779-2.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\52779","52779-2.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\52779\52779-2.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","52779-2",,,"44362","D:\BID\InServer\52779","D:\BID\InServer\52779","False","D:\BID\InServer\52779\52779-2.webp",".webp","52779-2.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-03-04 오후 3:05:04","2022-03-04 오전 6:05:04",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\52779\52779-3.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\52779","52779-3.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\52779\52779-3.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","52779-3",,,"64278","D:\BID\InServer\52779","D:\BID\InServer\52779","False","D:\BID\InServer\52779\52779-3.webp",".webp","52779-3.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-02-27 오전 10:42:14","2022-02-27 오전 1:42:14",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53010\53010-1.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53010","53010-1.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\53010\53010-1.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","53010-1",,,"79190","D:\BID\InServer\53010","D:\BID\InServer\53010","False","D:\BID\InServer\53010\53010-1.webp",".webp","53010-1.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-20 오전 2:41:12","2022-07-19 오후 5:41:12",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53010\53010-2.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53010","53010-2.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\53010\53010-2.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","53010-2",,,"75838","D:\BID\InServer\53010","D:\BID\InServer\53010","False","D:\BID\InServer\53010\53010-2.webp",".webp","53010-2.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-22 오후 2:50:52","2022-07-22 오전 5:50:52",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53855\53855-1.jpg","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53855","53855-1.jpg","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\53855\53855-1.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","53855-1",,,"231839","D:\BID\InServer\53855","D:\BID\InServer\53855","False","D:\BID\InServer\53855\53855-1.jpg",".jpg","53855-1.jpg","True","2022-07-23 오후 4:50:18","2022-07-23 오전 7:50:18","2022-07-23 오후 4:50:18","2022-07-23 오전 7:50:18","2022-07-13 오전 10:05:14","2022-07-13 오전 1:05:14",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53855\53855-2.jpg","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53855","53855-2.jpg","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\53855\53855-2.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","53855-2",,,"138849","D:\BID\InServer\53855","D:\BID\InServer\53855","False","D:\BID\InServer\53855\53855-2.jpg",".jpg","53855-2.jpg","True","2022-07-23 오후 4:50:18","2022-07-23 오전 7:50:18","2022-07-23 오후 4:50:18","2022-07-23 오전 7:50:18","2022-06-01 오전 10:18:44","2022-06-01 오전 1:18:44",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53945\53945-1.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53945","53945-1.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\53945\53945-1.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","53945-1",,,"59522","D:\BID\InServer\53945","D:\BID\InServer\53945","False","D:\BID\InServer\53945\53945-1.webp",".webp","53945-1.webp","True","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-07-10 오전 11:57:20","2022-07-10 오전 2:57:20",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53945\53945-2.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53945","53945-2.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\53945\53945-2.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","53945-2",,,"170028","D:\BID\InServer\53945","D:\BID\InServer\53945","False","D:\BID\InServer\53945\53945-2.webp",".webp","53945-2.webp","True","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-04-13 오전 12:49:50","2022-04-12 오후 3:49:50",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53959\53959-1.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\53959","53959-1.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\53959\53959-1.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","53959-1",,,"11102","D:\BID\InServer\53959","D:\BID\InServer\53959","False","D:\BID\InServer\53959\53959-1.webp",".webp","53959-1.webp","True","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-07-18 오전 10:31:00","2022-07-18 오전 1:31:00",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\54683\54683-1.jpg","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\54683","54683-1.jpg","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\54683\54683-1.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","54683-1",,,"198818","D:\BID\InServer\54683","D:\BID\InServer\54683","False","D:\BID\InServer\54683\54683-1.jpg",".jpg","54683-1.jpg","True","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-07-11 오후 5:03:12","2022-07-11 오전 8:03:12",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\54787\54787-1.jpg","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\54787","54787-1.jpg","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\54787\54787-1.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","54787-1",,,"109758","D:\BID\InServer\54787","D:\BID\InServer\54787","False","D:\BID\InServer\54787\54787-1.jpg",".jpg","54787-1.jpg","True","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-03-16 오후 10:45:14","2022-03-16 오후 1:45:14",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\55692\55692-1.jpg","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\55692","55692-1.jpg","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\55692\55692-1.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","55692-1",,,"111723","D:\BID\InServer\55692","D:\BID\InServer\55692","False","D:\BID\InServer\55692\55692-1.jpg",".jpg","55692-1.jpg","True","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-07-23 오후 4:50:19","2022-07-23 오전 7:50:19","2022-03-27 오후 12:43:00","2022-03-27 오전 3:43:00",,"Archive"
